Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Time_of_Transaction,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Fraudulent
T98,4893,751.78,ATM Withdrawal,1,,Houston,4,89,8,Credit Card,0
T99,2500,2089.99,Bill Payment,0,Tablet,Chicago,3,16,11,Credit Card,0
T100,1702,1681.25,POS Payment,15,Mobile,Miami,0,10,5,Net Banking,0
T101,3449,1755.29,Online Purchase,15,Tablet,Boston,1,9,1,Credit Card,0
T102,3777,461.22,Bank Transfer,22,Mobile,Houston,4,104,1,UPI,0
T103,2579,803.42,Online Purchase,21,,Los Angeles,4,67,3,Debit Card,0
T104,1161,813.35,POS Payment,3,Tablet,,2,28,11,UPI,0
T105,1201,1869.26,Online Purchase,12,Desktop,Miami,3,79,8,,0
T106,2981,4472.99,Bank Transfer,18,Tablet,Chicago,0,100,14,Credit Card,0
T107,1995,1034.11,Bill Payment,5,Tablet,Chicago,1,51,2,Net Banking,0
T108,3317,2083.88,Online Purchase,15,Tablet,San Francisco,4,30,8,Credit Card,0
T109,4934,1561.49,POS Payment,3,Desktop,Houston,0,117,6,Net Banking,0
T110,1815,3937.98,Bank Transfer,5,Desktop,Chicago,3,119,13,Debit Card,0
T111,4342,255.38,POS Payment,6,Tablet,New York,2,41,1,Credit Card,0
T112,1455,,Online Purchase,18,Mobile,,1,116,11,UPI,0
T113,4533,1057.15,Bank Transfer,19,Desktop,New York,0,47,13,,0
T114,4798,4964.85,Online Purchase,13,Mobile,Chicago,0,58,4,Debit Card,0
T115,2275,2856.02,ATM Withdrawal,12,Mobile,Miami,3,44,11,Net Banking,0
T116,2016,699.1,Bank Transfer,21,Tablet,,4,38,1,Credit Card,0
T117,4773,1364.63,Online Purchase,17,Tablet,Miami,3,3,10,,0
T118,3343,843.27,Bank Transfer,23,Desktop,Los Angeles,4,86,10,Debit Card,0
T119,4796,627.4,Bill Payment,18,Tablet,New York,0,34,1,UPI,0
T120,3767,3986.92,ATM Withdrawal,2,Mobile,Chicago,3,109,11,Credit Card,0
T121,4820,2481.28,POS Payment,4,Tablet,Los Angeles,2,80,5,Debit Card,0
T122,1337,3157.89,Online Purchase,9,Desktop,New York,2,43,1,Credit Card,0
T123,1878,1659.6,POS Payment,6,Tablet,Chicago,0,11,7,Debit Card,0
T124,2076,2770.71,Online Purchase,14,Tablet,New York,0,90,4,Credit Card,0
T125,1791,1291.56,Bank Transfer,23,Mobile,Chicago,1,4,8,,0
T126,4993,1543.64,POS Payment,22,Tablet,San Francisco,2,3,13,Debit Card,0
T127,3264,3262.93,ATM Withdrawal,23,,New York,0,5,6,UPI,0
T128,1763,756,Online Purchase,23,Tablet,Seattle,0,85,10,Net Banking,0
T129,3235,3088.02,POS Payment,17,,San Francisco,1,91,3,Credit Card,0
T130,1379,4261.91,Online Purchase,,Tablet,New York,0,112,5,Net Banking,0
T131,1492,606.51,Bill Payment,17,,,4,42,8,Debit Card,1
T132,4112,4487.82,Bill Payment,8,Desktop,San Francisco,2,83,14,Net Banking,0
T133,2180,401.83,POS Payment,3,Desktop,Los Angeles,2,49,2,UPI,0
T134,3062,1747.8,Bill Payment,21,Desktop,Miami,2,102,7,Credit Card,0
T135,4884,,ATM Withdrawal,14,Mobile,Seattle,0,115,13,Debit Card,0
T136,1064,2799.28,POS Payment,22,Desktop,Los Angeles,1,54,8,Debit Card,0
T137,4928,486.47,Bank Transfer,0,,Seattle,2,12,14,Net Banking,0
T138,4910,3995.57,POS Payment,14,Tablet,Los Angeles,2,12,3,Debit Card,0
T139,3568,4865.9,Bank Transfer,23,Tablet,San Francisco,1,72,14,Credit Card,0
T140,2367,910.24,Bill Payment,10,Desktop,San Francisco,2,80,14,Credit Card,0
T141,2152,4476.18,POS Payment,0,Tablet,Los Angeles,1,83,9,Credit Card,0
T142,3027,2786.26,ATM Withdrawal,23,Tablet,,2,27,3,UPI,0
T143,3695,4679.99,Bill Payment,13,Desktop,San Francisco,1,40,7,Credit Card,0
T144,2495,884.55,Bill Payment,14,Tablet,Chicago,3,93,7,Net Banking,0
T145,4134,3961.15,Bill Payment,16,Tablet,Seattle,4,4,7,UPI,0
T146,2162,303.61,Bank Transfer,1,Mobile,Seattle,4,69,7,Net Banking,0
T147,2522,4416.57,Bank Transfer,17,Tablet,Los Angeles,1,16,14,Net Banking,0
T148,3640,3372.43,ATM Withdrawal,19,Mobile,Houston,0,65,12,UPI,0
T149,1391,,Bank Transfer,17,Desktop,San Francisco,4,69,11,UPI,0
T150,2698,956.38,Online Purchase,21,Desktop,New York,2,23,10,Net Banking,0
T151,1418,4083.58,Online Purchase,12,Desktop,Los Angeles,0,91,10,Debit Card,0
T152,3336,3018.19,POS Payment,6,Tablet,Boston,4,5,8,UPI,0
T153,1378,1805.28,Bill Payment,0,Tablet,Chicago,3,112,7,UPI,0
T154,2796,2221.96,Online Purchase,1,Tablet,Chicago,0,11,11,Net Banking,0
T155,4561,4133.58,Bank Transfer,22,Desktop,Miami,4,70,12,Net Banking,0
T156,3278,1697.94,ATM Withdrawal,18,Tablet,Seattle,0,114,3,Credit Card,0
T157,4065,452.72,Bank Transfer,15,Desktop,Houston,0,72,2,Debit Card,0
T158,3088,4556.85,Bill Payment,4,Mobile,Chicago,2,93,7,UPI,0
T159,4099,1939.78,Bill Payment,1,Desktop,Miami,4,27,12,Debit Card,0
T160,3182,1745.2,Online Purchase,12,Mobile,Seattle,2,48,3,Net Banking,1
T161,1200,1025.98,Online Purchase,18,Mobile,Houston,0,13,2,Credit Card,0
T162,2863,4487.63,Bank Transfer,10,Tablet,Chicago,4,29,8,Net Banking,0
T163,1779,1091.44,POS Payment,21,Desktop,Miami,1,65,14,UPI,0
T164,3977,,Bank Transfer,14,Desktop,Chicago,4,74,4,Net Banking,0
T165,4104,4404.42,Online Purchase,,Tablet,,2,36,9,Net Banking,0
T166,4119,179.39,POS Payment,22,Desktop,San Francisco,2,66,12,Net Banking,0
T167,1502,49997.8,POS Payment,3,Desktop,Miami,3,108,8,UPI,0
T168,3454,2055.94,Online Purchase,12,Mobile,Miami,4,68,13,UPI,0
T169,4645,3291.58,Bank Transfer,7,Unknown Device,New York,0,38,3,Net Banking,0
T170,2751,1865.16,ATM Withdrawal,14,Tablet,,1,96,1,Credit Card,0
T171,1804,3479.1,Online Purchase,1,Mobile,New York,2,14,11,Invalid Method,0
T172,3146,1275.2,Bank Transfer,19,Mobile,Boston,1,97,11,Net Banking,0
T173,3731,114.54,ATM Withdrawal,,Tablet,New York,3,86,2,UPI,0
T174,2895,4739.2,Bill Payment,2,Tablet,Boston,3,82,12,Debit Card,1
T175,3773,86.76,Bill Payment,3,Tablet,Miami,4,117,6,UPI,0
T176,2570,4121.38,Bill Payment,4,Mobile,Houston,3,76,13,Net Banking,0
T177,1960,849.84,ATM Withdrawal,4,Desktop,San Francisco,2,76,7,UPI,0
T178,4810,1964.14,POS Payment,12,Tablet,Boston,0,6,8,Net Banking,0
T179,3660,4113.35,Bill Payment,19,Tablet,Boston,0,5,5,Credit Card,0
T180,2485,1033.63,Bill Payment,11,Tablet,Los Angeles,0,11,8,UPI,0
T181,3690,4329.21,POS Payment,22,Mobile,Boston,0,86,6,Net Banking,0
T182,4840,2491.31,ATM Withdrawal,,Desktop,,1,54,4,UPI,0
T183,2028,1833.94,ATM Withdrawal,15,Desktop,Houston,0,117,12,Debit Card,0
T184,4289,3313.88,POS Payment,20,Mobile,San Francisco,3,81,2,Credit Card,0
T185,1502,1710.24,Online Purchase,2,Mobile,San Francisco,4,76,3,UPI,0
T186,3814,1739.71,POS Payment,19,Mobile,Miami,0,2,8,Net Banking,0
T187,1397,3668.96,Bank Transfer,2,Unknown Device,Houston,2,102,9,Debit Card,0
T188,1870,1552.61,Bank Transfer,10,Desktop,Miami,0,95,11,Debit Card,0
T189,3842,1007.86,Online Purchase,5,Tablet,Seattle,3,78,13,,0
T190,1392,4039.19,Online Purchase,13,Desktop,Boston,1,33,2,UPI,0
T191,1206,4027.83,Bank Transfer,3,Desktop,Miami,1,34,10,UPI,0
T192,2038,2490.44,POS Payment,1,Desktop,Seattle,3,101,12,UPI,0
T193,2881,2635.64,ATM Withdrawal,14,Desktop,New York,0,63,2,UPI,0
T194,4625,3481.9,Bank Transfer,,Tablet,New York,3,65,13,Credit Card,0
T195,3939,,POS Payment,11,Mobile,Houston,3,13,14,Debit Card,1
T196,2484,2088.11,Bank Transfer,13,Mobile,Boston,3,1,3,Credit Card,0
T197,4762,4974.5,ATM Withdrawal,17,Desktop,Houston,2,27,13,Debit Card,0
T198,4646,742.46,Bank Transfer,13,Desktop,Chicago,3,20,10,UPI,0
T199,1863,2965.68,Bank Transfer,3,Tablet,Los Angeles,0,59,7,UPI,0
T200,3790,4429.89,ATM Withdrawal,17,,Miami,1,39,6,UPI,1
T201,4312,3437.64,Bill Payment,12,Tablet,New York,1,16,4,Debit Card,0
T202,1563,4405.21,Bank Transfer,16,Desktop,Boston,2,48,3,UPI,0
T203,2020,1684.99,Bank Transfer,0,Mobile,Seattle,1,105,9,Net Banking,0
T204,1095,1363.6,Bank Transfer,15,,Chicago,1,69,14,Net Banking,0
T205,2923,4257.11,Online Purchase,6,Desktop,Boston,3,42,10,UPI,0
T206,2757,1973.6,Online Purchase,22,Tablet,Miami,1,8,9,Credit Card,0
T207,3532,3549.86,ATM Withdrawal,7,Desktop,Miami,3,52,13,Debit Card,0
T208,4478,743,POS Payment,18,Mobile,New York,1,7,12,Credit Card,0
T209,3278,3780.41,Online Purchase,13,Mobile,Miami,2,89,11,Net Banking,0
T210,3796,2747.17,ATM Withdrawal,19,Tablet,Houston,3,3,1,Credit Card,0
T211,2678,1346.72,Online Purchase,18,Mobile,Chicago,3,7,11,,0
T212,4242,2475.05,POS Payment,17,Tablet,Houston,4,5,14,Invalid Method,0
T213,1540,3486.23,Online Purchase,21,Mobile,Chicago,0,98,9,UPI,0
T214,2059,64.37,Bill Payment,18,Tablet,Boston,3,80,1,,0
T215,3572,3189.15,POS Payment,13,Mobile,Miami,2,54,12,,0
T216,2183,2710.25,POS Payment,3,Tablet,San Francisco,4,33,13,Credit Card,0
T217,4910,1105.33,Online Purchase,16,Mobile,Los Angeles,4,7,14,Net Banking,0
T218,2722,3766.14,Online Purchase,10,Desktop,New York,4,98,13,Debit Card,0
T219,4314,1520.79,Bank Transfer,23,Tablet,San Francisco,4,83,13,Net Banking,0
T220,4157,1387.92,Bank Transfer,17,Mobile,San Francisco,1,119,7,Net Banking,0
T221,2819,2358.74,POS Payment,12,Mobile,San Francisco,3,106,14,Net Banking,0
T222,3625,3382.37,Bank Transfer,8,Desktop,,3,30,11,,0
T223,3729,4644.59,Bank Transfer,6,Tablet,San Francisco,1,59,7,Debit Card,0
T224,3604,711.08,Bank Transfer,,Mobile,Boston,2,61,4,Net Banking,0
T225,2597,1985.36,Bill Payment,0,Tablet,Boston,4,8,12,UPI,0
T226,4060,339.61,Bank Transfer,,Desktop,San Francisco,4,102,9,Credit Card,0
T227,3693,3793.96,Bank Transfer,20,Mobile,San Francisco,1,70,12,UPI,0
T228,1795,2241.43,Bill Payment,10,Desktop,Miami,0,56,10,UPI,0
T229,2051,3536.11,Online Purchase,2,Tablet,New York,2,19,11,,0
T230,2643,1614.36,POS Payment,,Mobile,Houston,2,19,9,UPI,0
T231,4627,4222.36,ATM Withdrawal,10,Desktop,New York,2,118,5,UPI,0
T232,2363,2676.47,Online Purchase,,Desktop,Chicago,3,62,8,Credit Card,0
T233,4869,4718.32,Bill Payment,21,Unknown Device,Miami,2,100,7,UPI,0
T234,2981,398.68,Bill Payment,20,Desktop,Houston,2,23,13,Debit Card,0
T235,2354,2573.81,POS Payment,22,Unknown Device,Chicago,1,51,9,UPI,0
T236,2663,3833.44,Bank Transfer,17,Mobile,Seattle,4,70,2,Credit Card,0
T237,2529,49997.8,ATM Withdrawal,3,Tablet,,3,103,6,UPI,0
T238,3038,120.85,ATM Withdrawal,14,Mobile,New York,4,8,4,Debit Card,0
T239,4419,4861.83,ATM Withdrawal,17,Tablet,San Francisco,2,54,10,Credit Card,0
T240,2496,1494.83,Online Purchase,19,,New York,1,25,1,Credit Card,0
T241,4302,1250.14,Bill Payment,8,Tablet,Seattle,2,43,7,UPI,0
T242,3237,2430.87,ATM Withdrawal,8,Mobile,Houston,2,78,9,Net Banking,0
T243,4296,2713.08,ATM Withdrawal,14,Desktop,Seattle,1,43,12,Net Banking,0
T244,2408,3832.61,Bank Transfer,,Desktop,Chicago,2,13,5,Credit Card,0
T245,2400,1969.4,Online Purchase,5,Tablet,Houston,0,77,6,Net Banking,0
T246,2306,49997.8,Bill Payment,1,Desktop,New York,3,78,9,UPI,0
T247,3680,2677.12,POS Payment,11,Tablet,San Francisco,4,115,6,Debit Card,0
T248,3675,1974.96,Bank Transfer,18,Desktop,Houston,0,84,1,Debit Card,0
T249,1972,4573.17,Bank Transfer,16,Mobile,,2,31,6,Credit Card,0
T250,2768,4257,Bank Transfer,15,,Los Angeles,1,22,3,UPI,0
T251,2282,2277.59,ATM Withdrawal,12,Tablet,San Francisco,1,19,14,UPI,0
T252,4430,5.97,POS Payment,1,Desktop,Los Angeles,0,2,5,Net Banking,0
T253,1709,4505.17,Online Purchase,21,Desktop,Seattle,2,98,2,UPI,0
T254,2479,626.06,Bill Payment,3,Desktop,Los Angeles,1,75,7,Credit Card,0
T255,2434,1226.34,Online Purchase,9,Tablet,,4,39,1,Net Banking,0
T256,1648,766.04,Bank Transfer,18,Tablet,San Francisco,3,84,12,Debit Card,0
T257,1317,903.18,POS Payment,13,Desktop,,0,92,10,UPI,0
T258,4748,4015.37,Online Purchase,4,Unknown Device,Boston,1,84,12,Credit Card,0
T259,4296,2899.61,Online Purchase,10,,Houston,0,117,2,UPI,0
T260,4890,4780.7,Bank Transfer,11,Desktop,Houston,3,38,1,Debit Card,0
T261,2257,1161.11,Bank Transfer,8,Tablet,New York,0,93,3,UPI,0
T262,1683,,Online Purchase,4,Tablet,Los Angeles,1,54,8,Net Banking,0
T263,1663,4887.25,Online Purchase,14,Desktop,New York,2,75,4,Credit Card,0
T264,2998,,ATM Withdrawal,21,Mobile,Los Angeles,0,70,5,Net Banking,0
T265,4898,3644.44,POS Payment,4,Mobile,Seattle,0,9,5,Net Banking,0
T266,4445,948.93,Bank Transfer,8,Desktop,Chicago,1,30,3,Debit Card,0
T267,4743,3848.18,Bill Payment,14,Tablet,Chicago,1,77,2,Net Banking,0
T268,2631,1741.09,Bill Payment,22,Mobile,Houston,2,41,10,Invalid Method,0
T269,2495,2655.03,Bank Transfer,4,Mobile,Los Angeles,1,90,3,,0
T270,4304,3047.76,POS Payment,11,Tablet,,0,92,1,Net Banking,0
T271,4763,3048.77,Bill Payment,22,Desktop,Boston,3,111,13,Credit Card,0
T272,2136,3633.98,ATM Withdrawal,17,Mobile,Seattle,4,47,10,,0
T273,2853,3310.2,Bank Transfer,23,Desktop,Houston,4,33,8,Debit Card,0
T274,2520,346.51,Bill Payment,6,Desktop,Boston,1,42,3,UPI,1
T275,3489,2289.45,Bill Payment,17,Desktop,San Francisco,0,99,4,UPI,0
T276,1563,3321.79,Bank Transfer,2,Tablet,New York,4,32,13,Invalid Method,0
T277,2291,1483.48,POS Payment,23,Tablet,Houston,4,107,1,Credit Card,0
T278,4581,1568.72,Bank Transfer,12,Unknown Device,Boston,4,4,5,Debit Card,0
T279,4878,627.21,Online Purchase,20,Tablet,San Francisco,3,54,11,Debit Card,0
T280,4457,2095.98,Bill Payment,17,Tablet,San Francisco,3,75,14,Debit Card,0
T281,4458,4934.22,Online Purchase,9,Tablet,Boston,0,48,11,Net Banking,0
T282,4184,1430.17,POS Payment,6,Mobile,Los Angeles,2,106,2,Credit Card,0
T283,2636,2659.53,Online Purchase,17,Tablet,Seattle,0,104,1,Net Banking,0
T284,4696,,POS Payment,18,Tablet,New York,2,16,10,UPI,0
T285,3999,72.42,Bank Transfer,0,Tablet,Boston,4,45,9,Debit Card,1
T286,4152,4502.7,ATM Withdrawal,8,Mobile,Houston,4,9,11,Debit Card,0
T287,1698,1935.82,ATM Withdrawal,20,Tablet,Houston,4,84,13,UPI,0
T288,3160,4346.23,Bank Transfer,15,Desktop,Los Angeles,3,31,3,UPI,0
T289,1001,199.54,Bill Payment,16,Tablet,New York,2,50,7,UPI,0
T290,1641,732.59,POS Payment,17,Mobile,San Francisco,2,26,14,Credit Card,0
T291,3267,1616.03,Online Purchase,8,Mobile,Boston,3,104,10,Net Banking,0
T292,2589,1730.58,ATM Withdrawal,13,Mobile,Miami,1,64,7,Credit Card,0
T293,1854,4239.73,Online Purchase,23,Desktop,Boston,3,10,12,UPI,0
T294,2759,60.95,Online Purchase,16,Desktop,,3,39,14,Credit Card,0
T295,4296,3207.35,Online Purchase,9,,Los Angeles,1,76,6,Debit Card,0
T296,3432,660.91,Bill Payment,9,Mobile,Los Angeles,1,100,5,Credit Card,0
T297,4474,4116.96,ATM Withdrawal,21,Desktop,Miami,1,40,3,UPI,0
T298,2661,3893.97,Online Purchase,20,Tablet,San Francisco,3,66,4,Debit Card,0
T299,2153,49997.8,Online Purchase,18,Tablet,San Francisco,2,85,2,Net Banking,0
T300,2076,1067.37,ATM Withdrawal,19,,San Francisco,2,12,2,Debit Card,0
T301,2707,3174.3,Online Purchase,9,Mobile,Los Angeles,0,70,4,,0
T302,3777,785.51,POS Payment,21,Mobile,Chicago,4,102,12,UPI,0
T303,2695,954.17,ATM Withdrawal,12,Unknown Device,Chicago,3,116,12,Debit Card,0
T304,2733,3135.32,Online Purchase,11,Mobile,Chicago,4,72,10,Debit Card,0
T305,2439,4956.19,Bill Payment,11,Tablet,Los Angeles,2,39,3,Credit Card,0
T306,3294,4455.85,POS Payment,23,Tablet,Miami,4,7,13,Credit Card,0
T307,1835,2967.57,Bank Transfer,7,Desktop,Miami,4,84,3,Debit Card,0
T308,4510,2694.99,Bill Payment,3,Mobile,Boston,1,60,11,UPI,0
T309,1202,4991.93,Bank Transfer,,Mobile,San Francisco,1,109,13,Credit Card,1
T310,4255,2739.25,Bank Transfer,23,,Chicago,2,12,3,Credit Card,0
T311,1122,2103.48,Online Purchase,2,Tablet,Houston,4,93,14,Net Banking,0
T312,1400,4548.23,POS Payment,23,Desktop,Chicago,0,101,12,Net Banking,0
T313,1766,1174.75,Online Purchase,14,Desktop,New York,0,66,2,UPI,0
T314,1293,492.14,Bill Payment,12,,Miami,2,101,14,UPI,0
T315,3327,,Bank Transfer,6,Mobile,Los Angeles,1,67,4,Invalid Method,0
T316,4908,483.77,Online Purchase,7,Tablet,Houston,1,95,5,Debit Card,0
T317,3931,1868.88,Bill Payment,17,Tablet,Miami,1,6,9,UPI,0
T318,4681,49997.8,Bill Payment,0,Mobile,Houston,4,4,14,Credit Card,0
T319,1197,2739.95,Bank Transfer,11,,Seattle,4,63,14,UPI,0
T320,4029,4958.34,Online Purchase,9,Desktop,Los Angeles,4,32,9,Net Banking,0
T321,2930,1108.8,POS Payment,13,Tablet,Houston,4,50,14,Net Banking,0
T322,4582,1881.9,Bill Payment,17,Tablet,Los Angeles,1,19,9,Debit Card,1
T323,3799,665.54,Online Purchase,,Desktop,Chicago,0,79,6,Debit Card,0
